Genome,Ala,Val,Leu,Ile,Pro,Cys,Met,Gly,Trp,Phe,Lys,Arg,His,Tyr,Thr,Glu,Gln,Asp,Asn,Ser
GWASMC-A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AMR_MDS_5487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAG-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GWASMC-A4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GWASMC-A30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCUT-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBR_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SCUT-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCELSE-8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GWASMC-A3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GWASMC-A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A18,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
UW10-POB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UW14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW8-POB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAG-196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWASMC-A7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bin208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bin12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
